"model_type","niche_breadth","TSS_lo","TSS_med","TSS_hi"
"GLM","narrow",0.704563700884124,0.733799210448035,0.763122529038576
"GLM","low_mid",0.521315758374457,0.560598023788978,0.59757880821433
"GLM","high_mid",0.171331502537509,0.239962884909441,0.314660912566108
"GLM","broad",0.255447207440117,0.321145974094386,0.389246460561109
"Maxent","narrow",0.727425575151769,0.779833844309198,0.826543617031173
"Maxent","low_mid",0.624487278200345,0.697297667771828,0.761581867397438
"Maxent","high_mid",0.36076143855073,0.42627616251458,0.492749764060777
"Maxent","broad",0.35722328056345,0.423642595175556,0.491448007689788
"BRT","narrow",0.72980465472965,0.776434560887895,0.821539716726619
"BRT","low_mid",0.563199605395246,0.632103206506099,0.696119559237265
"BRT","high_mid",0.287286414963396,0.35296054245312,0.425627149058225
"BRT","broad",0.334995095524316,0.401176546900305,0.465268792942639
"RF","narrow",0.714838923884405,0.756914596885076,0.800122732227507
"RF","low_mid",0.575751642917221,0.657313264726416,0.741585494177117
"RF","high_mid",0.248462858368571,0.328031413515488,0.393460788588298
"RF","broad",0.337526484565398,0.401921700021226,0.469262507865386
