"MAE","Bias","n_test","niche_breadth","model_type"
0.205797124717422,-0.173208240346798,1352,"narrow","GLM"
0.211678878915565,-0.157704045802188,1211,"low_mid","GLM"
0.149640002105627,0.00756039748030853,1227,"high_mid","GLM"
0.155154365547796,0.0383246907011661,1262,"broad","GLM"
0.0847057600984155,0.0291136581063865,1352,"narrow","Maxent"
0.0736664337321031,0.0391733082797938,1211,"low_mid","Maxent"
0.115251387128239,0.106831726535174,1227,"high_mid","Maxent"
0.145607364846597,0.138694569277384,1262,"broad","Maxent"
0.0915115752226027,-0.0284568256785031,1352,"narrow","BRT"
0.104454279291099,0.0116506321732422,1211,"low_mid","BRT"
0.114017633436093,0.0793943619387806,1227,"high_mid","BRT"
0.147838476587498,0.120180285844583,1262,"broad","BRT"
0.0895952775673201,0.00209823480271941,1352,"narrow","RF"
0.102398763628424,0.0237840709178561,1211,"low_mid","RF"
0.125648904542627,0.0838544071325888,1227,"high_mid","RF"
0.149467677452997,0.122794535678659,1262,"broad","RF"
