"Hypothesis","Metric","Test","niche_breadth","model1","model2","Statistic","p_value","Significant"
"H1","AUC","Page Test","all","all models",NA,3.377,4e-04,"yes"
"H1","MAE","Page Test","all","all models",NA,1.819,0.0345,"yes"
"H1","TSS","Page Test","all","all models",NA,2.858,0.0021,"yes"
"H2","AUC","DeLong","broad","GLM","Maxent",-11.274,0,"yes"
"H2","AUC","DeLong","broad","GLM","BRT",-7.382,0,"yes"
"H2","AUC","DeLong","broad","GLM","RF",-3.985,1e-04,"yes"
"H2","AUC","DeLong","high_mid","GLM","Maxent",-11.709,0,"yes"
"H2","AUC","DeLong","high_mid","GLM","BRT",-9.978,0,"yes"
"H2","AUC","DeLong","high_mid","GLM","RF",-7.411,0,"yes"
"H2","AUC","DeLong","low_mid","GLM","Maxent",-11.252,0,"yes"
"H2","AUC","DeLong","low_mid","GLM","BRT",-6.491,0,"yes"
"H2","AUC","DeLong","low_mid","GLM","RF",-7.702,0,"yes"
"H2","AUC","DeLong","narrow","GLM","Maxent",-4.093,0,"yes"
"H2","AUC","DeLong","narrow","GLM","BRT",-5.186,0,"yes"
"H2","AUC","DeLong","narrow","GLM","RF",-4.724,0,"yes"
"H2","MAE","Wilcoxon","broad","GLM","Maxent",373924,0.058,"no"
"H2","MAE","Wilcoxon","broad","GLM","BRT",421194,0.0794,"no"
"H2","MAE","Wilcoxon","broad","GLM","RF",418723,0.1179,"no"
"H2","MAE","Wilcoxon","high_mid","GLM","Maxent",459487,0,"yes"
"H2","MAE","Wilcoxon","high_mid","GLM","BRT",484775,0,"yes"
"H2","MAE","Wilcoxon","high_mid","GLM","RF",433095,0,"yes"
"H2","MAE","Wilcoxon","low_mid","GLM","Maxent",600198,0,"yes"
"H2","MAE","Wilcoxon","low_mid","GLM","BRT",538087,0,"yes"
"H2","MAE","Wilcoxon","low_mid","GLM","RF",528707,0,"yes"
"H2","MAE","Wilcoxon","narrow","GLM","Maxent",742823,0,"yes"
"H2","MAE","Wilcoxon","narrow","GLM","BRT",703996,0,"yes"
"H2","MAE","Wilcoxon","narrow","GLM","RF",687875,0,"yes"
"H3","AUC","Scheirer-Ray-Hare (Interaktion)","all","Maxent/RF/BRT",NA,0.462,0.9983,"no"
"H3","AUC","DeLong","broad","Maxent","BRT",1.624,0.1044,"no"
"H3","AUC","DeLong","broad","Maxent","RF",2.217,0.0266,"yes"
"H3","AUC","DeLong","broad","RF","BRT",-1.551,0.1208,"no"
"H3","AUC","DeLong","high_mid","Maxent","BRT",6.963,0,"yes"
"H3","AUC","DeLong","high_mid","Maxent","RF",8.427,0,"yes"
"H3","AUC","DeLong","high_mid","RF","BRT",-5.715,0,"yes"
"H3","AUC","DeLong","low_mid","Maxent","BRT",8.599,0,"yes"
"H3","AUC","DeLong","low_mid","Maxent","RF",7.206,0,"yes"
"H3","AUC","DeLong","low_mid","RF","BRT",3.994,1e-04,"yes"
"H3","AUC","DeLong","narrow","Maxent","BRT",-2.142,0.0322,"yes"
"H3","AUC","DeLong","narrow","Maxent","RF",-1.298,0.1942,"no"
"H3","AUC","DeLong","narrow","RF","BRT",-1.292,0.1963,"no"
"H3","MAE","Scheirer-Ray-Hare (Interaktion)","all","Maxent/RF/BRT",NA,0.808,0.9919,"no"
"H3","MAE","Wilcoxon","broad","Maxent","BRT",442231,7e-04,"yes"
"H3","MAE","Wilcoxon","broad","Maxent","RF",412303,0.2857,"no"
"H3","MAE","Wilcoxon","broad","RF","BRT",413246,0.2541,"no"
"H3","MAE","Wilcoxon","high_mid","Maxent","BRT",416097,0.0015,"yes"
"H3","MAE","Wilcoxon","high_mid","Maxent","RF",321216,0,"yes"
"H3","MAE","Wilcoxon","high_mid","RF","BRT",484848,0,"yes"
"H3","MAE","Wilcoxon","low_mid","Maxent","BRT",129286,0,"yes"
"H3","MAE","Wilcoxon","low_mid","Maxent","RF",132063,0,"yes"
"H3","MAE","Wilcoxon","low_mid","RF","BRT",414703,1e-04,"yes"
"H3","MAE","Wilcoxon","narrow","Maxent","BRT",319281,0,"yes"
"H3","MAE","Wilcoxon","narrow","Maxent","RF",295982,0,"yes"
"H3","MAE","Wilcoxon","narrow","RF","BRT",497546,0.0051,"yes"
"H3","TSS","Scheirer-Ray-Hare (Interaktion)","all","Maxent/RF/BRT",NA,0.462,0.9983,"no"
